   No.   	Time N (s)	Depth N (µm)	Force N (mN)
 1264	  257.603	     0.88185	     0.17704
 1265	  257.806	     0.86150	     0.17437
 1266	  258.008	     0.84085	     0.17814
 1267	  258.211	     0.82145	     0.17836
 1268	  258.414	     0.80214	     0.17285
 1269	  258.601	     0.78249	     0.18132
 1270	  258.804	     0.76202	     0.18361
 1271	  259.007	     0.74221	     0.17598
 1272	  259.210	     0.72187	     0.18166
 1273	  259.412	     0.70080	     0.17431
 1274	  259.600	     0.68091	     0.18065
 1275	  259.802	     0.66232	     0.17219
 1276	  260.005	     0.64075	     0.17040
 1277	  260.208	     0.62152	     0.17596
 1278	  260.411	     0.60191	     0.17801
 1279	  260.614	     0.58216	     0.17657
 1280	  260.801	     0.56096	     0.16541
 1281	  261.004	     0.54110	     0.17709
 1282	  261.206	     0.52038	     0.17660
 1283	  261.409	     0.50104	     0.17448
 1284	  261.612	     0.48173	     0.17337
 1285	  261.815	     0.46224	     0.16663
 1286	  262.002	     0.44305	     0.17158
 1287	  262.205	     0.42012	     0.17349
 1288	  262.408	     0.40022	     0.16540
 1289	  262.610	     0.38060	     0.17386
 1290	  262.813	     0.36147	     0.16706
 1291	  263.016	     0.34259	     0.16664
 1292	  263.203	     0.32257	     0.16889
 1293	  263.406	     0.30151	     0.16625
 1294	  263.609	     0.28212	     0.16996
 1295	  263.812	     0.26388	     0.17818
 1296	  264.014	     0.24250	     0.16920
 1297	  264.202	     0.22372	     0.17342
 1298	  264.404	     0.20106	     0.17576
 1299	  264.607	     0.18189	     0.17992
 1300	  264.810	     0.16351	     0.17830
 1301	  265.013	     0.14264	     0.17123
 1302	  265.216	     0.12183	     0.16133
 1303	  265.403	     0.10310	     0.16844
 1304	  265.606	     0.08365	     0.16336
 1305	  265.808	     0.06170	     0.16454
 1306	  266.011	     0.04176	     0.16324
 1307	  266.214	     0.02219	     0.16774
 1308	  266.401	     0.00436	     0.16595
 1309	  266.604	     0.01692	     0.17213	32	Load
 1310	  266.807	     0.03836	     0.17653
 1311	  267.010	     0.05950	     0.17861
 1312	  267.212	     0.07586	     0.17593
 1313	  267.415	     0.09710	     0.18104
 1314	  267.602	     0.11817	     0.18096
 1315	  267.805	     0.13738	     0.17355
 1316	  268.008	     0.15871	     0.18013
 1317	  268.211	     0.17632	     0.18011
 1318	  268.414	     0.19747	     0.17755
 1319	  268.601	     0.21644	     0.18345
 1320	  268.804	     0.23807	     0.17919
 1321	  269.006	     0.25784	     0.18306
 1322	  269.209	     0.27806	     0.18364
 1323	  269.412	     0.29628	     0.18659
 1324	  269.615	     0.31666	     0.19099
 1325	  269.802	     0.33822	     0.18701
 1326	  270.005	     0.35877	     0.17742
 1327	  270.208	     0.37739	     0.18491
 1328	  270.410	     0.39728	     0.19361
 1329	  270.613	     0.41653	     0.18835
 1330	  270.800	     0.43744	     0.19542
 1331	  271.003	     0.45972	     0.19194
 1332	  271.206	     0.47800	     0.19643
 1333	  271.409	     0.49708	     0.18728
 1334	  271.612	     0.51663	     0.18213
 1335	  271.814	     0.53676	     0.18396
 1336	  272.002	     0.55605	     0.18538
 1337	  272.204	     0.57936	     0.18578
 1338	  272.407	     0.59782	     0.18961
 1339	  272.610	     0.61863	     0.18693
 1340	  272.813	     0.63699	     0.18390
 1341	  273.016	     0.65679	     0.18527
 1342	  273.203	     0.67736	     0.18279
 1343	  273.406	     0.69827	     0.19438
 1344	  273.608	     0.71938	     0.19506
 1345	  273.811	     0.73719	     0.19854
 1346	  274.014	     0.75827	     0.19582
 1347	  274.201	     0.77681	     0.19558
 1348	  274.404	     0.79763	     0.19088
 1349	  274.607	     0.82017	     0.19607
 1350	  274.810	     0.83825	     0.19443
 1351	  275.012	     0.85750	     0.19635
 1352	  275.215	     0.87673	     0.19369
 1353	  275.402	     0.89665	     0.18490
 1354	  275.605	     0.91817	     0.18579
 1355	  275.808	     0.93922	     0.18765
 1356	  276.011	     0.95729	     0.19525
 1357	  276.214	     0.97749	     0.19678
 1358	  276.401	     0.99755	     0.20151
 1359	  276.604	     1.01765	     0.19018
 1360	  276.806	     1.03914	     0.19781
 1361	  277.009	     1.05947	     0.19661
 1362	  277.212	     1.07547	     0.20773
 1363	  277.415	     1.09523	     0.20311
 1364	  277.602	     1.11757	     0.20480
 1365	  277.805	     1.13717	     0.19887
 1366	  278.008	     1.15796	     0.19728
 1367	  278.210	     1.17698	     0.19447
 1368	  278.413	     1.19653	     0.20359
 1369	  278.600	     1.21757	     0.20005
 1370	  278.803	     1.23901	     0.20044
 1371	  279.006	     1.25759	     0.20161
 1372	  279.209	     1.27369	     0.26964
 1373	  279.412	     1.28316	     0.55307
 1374	  279.614	     1.29633	     1.06289
 1375	  279.802	     1.31172	     1.72491
 1376	  280.004	     1.32586	     2.59310
 1377	  280.207	     1.33810	     3.57589
 1378	  280.410	     1.35598	     4.70075
 1379	  280.613	     1.37240	     5.84068
 1380	  280.800	     1.38933	     6.96082
 1381	  281.003	     1.40713	     8.19218
 1382	  281.206	     1.42893	     9.33216
 1383	  281.408	     1.45394	    10.36558
 1384	  281.611	     1.47465	    11.15617
 1385	  281.814	     1.52406	    11.32116
 1386	  282.001	     1.54348	    11.02027
 1387	  282.204	     1.55402	    11.07802
 1388	  282.407	     1.57334	    11.30342
 1389	  282.610	     1.58700	    10.94800	33	Unload
 1390	  282.812	     1.57453	    10.03574
 1391	  283.015	     1.56119	     8.90904
 1392	  283.202	     1.54523	     7.73033
 1393	  283.405	     1.52761	     6.43448
 1394	  283.608	     1.50927	     5.13789
 1395	  283.811	     1.49104	     3.95987
 1396	  284.014	     1.47097	     2.75334
 1397	  284.201	     1.44823	     1.74782
 1398	  284.404	     1.42698	     0.83197
 1399	  284.606	     1.39196	     0.20023
 1400	  284.809	     1.36139	     0.17033
 1401	  285.012	     1.34111	     0.17226
 1402	  285.215	     1.32260	     0.18139
 1403	  285.402	     1.30146	     0.17542
 1404	  285.605	     1.28055	     0.16733
 1405	  285.808	     1.26139	     0.16883
 1406	  286.010	     1.24214	     0.16854
 1407	  286.213	     1.22177	     0.16317
 1408	  286.416	     1.20211	     0.16968
 1409	  286.603	     1.18177	     0.15340
 1410	  286.806	     1.16144	     0.16808
 1411	  287.009	     1.14167	     0.15157
 1412	  287.212	     1.12243	     0.16362
 1413	  287.414	     1.10146	     0.15425
 1414	  287.602	     1.08177	     0.15854
 1415	  287.804	     1.06082	     0.15011
 1416	  288.007	     1.04083	     0.14688
 1417	  288.210	     1.02371	     0.14601
 1418	  288.413	     1.00307	     0.14322
 1419	  288.600	     0.98201	     0.14026
 1420	  288.803	     0.96015	     0.13383
 1421	  289.006	     0.94123	     0.14304
 1422	  289.208	     0.92150	     0.14146
 1423	  289.411	     0.90318	     0.13570
 1424	  289.614	     0.88292	     0.13134
 1425	  289.801	     0.86128	     0.12772
 1426	  290.004	     0.84033	     0.12281
 1427	  290.207	     0.82392	     0.12673
 1428	  290.410	     0.80228	     0.12844
 1429	  290.612	     0.78160	     0.12439
 1430	  290.800	     0.76154	     0.12552
 1431	  291.002	     0.74282	     0.12896
 1432	  291.205	     0.72171	     0.12597
 1433	  291.408	     0.70050	     0.12454
 1434	  291.611	     0.68281	     0.12924
 1435	  291.814	     0.66147	     0.12636
 1436	  292.001	     0.64323	     0.12925
 1437	  292.204	     0.62136	     0.11752
 1438	  292.406	     0.60122	     0.12390
 1439	  292.609	     0.58307	     0.11582
 1440	  292.812	     0.56222	     0.12157
 1441	  293.015	     0.54378	     0.11908
 1442	  293.202	     0.52229	     0.11819
 1443	  293.405	     0.50727	     0.11577
 1444	  293.608	     0.48062	     0.10731
 1445	  293.810	     0.46337	     0.11804
 1446	  294.013	     0.44194	     0.10921
 1447	  294.216	     0.42109	     0.10641
 1448	  294.403	     0.40270	     0.10871
 1449	  294.606	     0.38114	     0.10291
 1450	  294.809	     0.36224	     0.11340
 1451	  295.012	     0.34379	     0.10307
 1452	  295.214	     0.32426	     0.10278
 1453	  295.402	     0.30293	     0.09702
 1454	  295.604	     0.28064	     0.10689
 1455	  295.807	     0.26169	     0.09362
 1456	  296.010	     0.24356	     0.09791
 1457	  296.213	     0.22171	     0.09442
 1458	  296.416	     0.20141	     0.10726
 1459	  296.603	     0.18078	     0.10325
 1460	  296.806	     0.16158	     0.10497
 1461	  297.008	     0.14177	     0.10227
 1462	  297.211	     0.12161	     0.10635
 1463	  297.414	     0.10151	     0.10058
 1464	  297.601	     0.08270	     0.10447
 1465	  297.804	     0.06008	     0.10217
 1466	  298.007	     0.04069	     0.10887
 1467	  298.210	     0.02286	     0.10892
 1468	  298.412	     0.00271	     0.10235
 1469	  298.600	     0.01680	     0.10129	34	Load
 1470	  298.802	     0.03768	     0.10052
 1471	  299.005	     0.05865	     0.11027
 1472	  299.208	     0.08002	     0.10271
 1473	  299.411	     0.09691	     0.10989
 1474	  299.614	     0.10861	     0.10998
 1475	  299.801	     0.13602	     0.11628
 1476	  300.004	     0.15847	     0.10277
 1477	  300.206	     0.17828	     0.11208
 1478	  300.409	     0.19682	     0.11194
 1479	  300.612	     0.21744	     0.11376
 1480	  300.815	     0.23817	     0.11194
 1481	  301.002	     0.25629	     0.11111
 1482	  301.205	     0.27822	     0.11385
 1483	  301.408	     0.29847	     0.11542
 1484	  301.610	     0.31749	     0.12545
 1485	  301.813	     0.33753	     0.11866
 1486	  302.016	     0.35788	     0.11578
 1487	  302.203	     0.37623	     0.10833
 1488	  302.406	     0.39993	     0.11968
 1489	  302.609	     0.41678	     0.12014
 1490	  302.812	     0.43667	     0.12041
 1491	  303.014	     0.45808	     0.12030
 1492	  303.202	     0.47627	     0.11465
 1493	  303.404	     0.49938	     0.10856
 1494	  303.607	     0.51790	     0.11438
 1495	  303.810	     0.53681	     0.12347
 1496	  304.013	     0.55699	     0.12618
 1497	  304.216	     0.57751	     0.12071
 1498	  304.403	     0.59596	     0.12495
 1499	  304.606	     0.62044	     0.12030
 1500	  304.808	     0.63856	     0.11976
 1501	  305.011	     0.65766	     0.12495
 1502	  305.214	     0.67770	     0.13575
 1503	  305.401	     0.69683	     0.12535
 1504	  305.604	     0.71876	     0.12337
 1505	  305.807	     0.73828	     0.12644
 1506	  306.010	     0.75747	     0.12716
 1507	  306.212	     0.77763	     0.13619
 1508	  306.415	     0.79757	     0.13081
 1509	  306.602	     0.81641	     0.13223
 1510	  306.805	     0.83835	     0.13771
 1511	  307.008	     0.85648	     0.13807
 1512	  307.211	     0.87723	     0.13119
 1513	  307.414	     0.89641	     0.13360
 1514	  307.601	     0.91673	     0.13313
 1515	  307.804	     0.93901	     0.12624
 1516	  308.006	     0.95767	     0.14106
 1517	  308.209	     0.97741	     0.13711
 1518	  308.412	     0.99719	     0.13493
 1519	  308.615	     1.00809	     0.13721
 1520	  308.802	     1.03743	     0.14039
 1521	  309.005	     1.05893	     0.13937
 1522	  309.208	     1.07925	     0.14198
 1523	  309.410	     1.09739	     0.14633
 1524	  309.613	     1.11592	     0.14428
 1525	  309.800	     1.13696	     0.14375
 1526	  310.003	     1.15683	     0.14919
 1527	  310.206	     1.17892	     0.13264
 1528	  310.409	     1.19538	     0.14444
 1529	  310.612	     1.21741	     0.14244
 1530	  310.814	     1.23728	     0.14068
 1531	  311.002	     1.25773	     0.13954
 1532	  311.204	     1.27800	     0.14997
 1533	  311.407	     1.29886	     0.14821
 1534	  311.610	     1.31721	     0.14710
 1535	  311.813	     1.33651	     0.14646
 1536	  312.016	     1.35727	     0.15387
 1537	  312.203	     1.36939	     0.25016
 1538	  312.406	     1.38544	     0.46491
 1539	  312.608	     1.39918	     0.93964
 1540	  312.811	     1.40988	     1.58584
 1541	  313.014	     1.42555	     2.42446
 1542	  313.201	     1.44176	     3.32711
 1543	  313.404	     1.45612	     4.42409
 1544	  313.607	     1.47249	     5.62943
 1545	  313.810	     1.48771	     6.76797
 1546	  314.012	     1.50958	     7.94429
 1547	  314.215	     1.53043	     9.01584
 1548	  314.402	     1.54943	    10.00420
 1549	  314.605	     1.57616	    10.94175
 1550	  314.808	     1.62633	    11.07430
 1551	  315.011	     1.64125	    10.78474
 1552	  315.214	     1.65460	    10.83643
 1553	  315.401	     1.66898	    10.99421
 1554	  315.604	     1.68413	    10.81920	35	Unload
 1555	  315.806	     1.67629	     9.90005
 1556	  316.009	     1.65879	     8.75026
 1557	  316.212	     1.64547	     7.58742
 1558	  316.415	     1.62902	     6.30410
 1559	  316.602	     1.61121	     5.04080
 1560	  316.805	     1.59919	     4.01265
 1561	  317.008	     1.57930	     2.67166
 1562	  317.210	     1.55230	     1.49556
 1563	  317.413	     1.52633	     0.55498
 1564	  317.600	     1.48726	     0.15363
 1565	  317.803	     1.46032	     0.14564
 1566	  318.006	     1.44292	     0.13970
 1567	  318.209	     1.42298	     0.15338
 1568	  318.412	     1.40243	     0.14453
 1569	  318.614	     1.38219	     0.14171
 1570	  318.802	     1.36212	     0.13682
 1571	  319.004	     1.33989	     0.14157
 1572	  319.207	     1.32188	     0.13987
 1573	  319.410	     1.30303	     0.14344
 1574	  319.613	     1.28807	     0.13686
 1575	  319.800	     1.26310	     0.12749
 1576	  320.003	     1.24198	     0.13492
 1577	  320.206	     1.22265	     0.13241
 1578	  320.408	     1.20154	     0.13077
 1579	  320.611	     1.18149	     0.12512
 1580	  320.814	     1.16147	     0.12743
 1581	  321.001	     1.14315	     0.12940
 1582	  321.204	     1.12166	     0.13025
 1583	  321.407	     1.10217	     0.12891
 1584	  321.610	     1.08130	     0.12069
 1585	  321.812	     1.06277	     0.12327
 1586	  322.015	     1.04190	     0.12363
 1587	  322.202	     1.02232	     0.12088
 1588	  322.405	     1.00305	     0.12225
 1589	  322.608	     0.98092	     0.11301
 1590	  322.811	     0.96424	     0.11782
 1591	  323.014	     0.94250	     0.12204
 1592	  323.201	     0.92386	     0.12102
 1593	  323.404	     0.90125	     0.12113
 1594	  323.606	     0.88091	     0.12007
 1595	  323.809	     0.86287	     0.11720
 1596	  324.012	     0.84283	     0.11315
 1597	  324.215	     0.82337	     0.11393
 1598	  324.402	     0.80370	     0.11462
 1599	  324.605	     0.78195	     0.10972
 1600	  324.808	     0.76182	     0.10522
 1601	  325.010	     0.74265	     0.10309
 1602	  325.213	     0.72343	     0.10008
 1603	  325.416	     0.70332	     0.10407
 1604	  325.603	     0.68361	     0.10279
 1605	  325.806	     0.66179	     0.10660
 1606	  326.009	     0.64086	     0.10429
 1607	  326.212	     0.62369	     0.10540
 1608	  326.414	     0.60295	     0.10303
 1609	  326.602	     0.58350	     0.09938
 1610	  326.804	     0.56143	     0.09519
 1611	  327.007	     0.54183	     0.09220
 1612	  327.210	     0.52371	     0.09469
 1613	  327.413	     0.50278	     0.08533
 1614	  327.600	     0.48153	     0.08252
 1615	  327.803	     0.46339	     0.07506
 1616	  328.006	     0.44073	     0.08484
 1617	  328.208	     0.42185	     0.08213
 1618	  328.411	     0.40205	     0.08198
 1619	  328.614	     0.38371	     0.08005
 1620	  328.801	     0.36344	     0.08040
 1621	  329.004	     0.34137	     0.08024
 1622	  329.207	     0.32083	     0.08910
 1623	  329.410	     0.30177	     0.07651
 1624	  329.612	     0.28355	     0.07132
 1625	  329.800	     0.26376	     0.06540
 1626	  330.002	     0.24290	     0.05672
 1627	  330.205	     0.22155	     0.06092
 1628	  330.408	     0.20122	     0.06299
 1629	  330.611	     0.18366	     0.06188
 1630	  330.814	     0.16290	     0.06108
 1631	  331.001	     0.14257	     0.06020
 1632	  331.204	     0.12157	     0.05674
 1633	  331.406	     0.10202	     0.05855
 1634	  331.609	     0.08129	     0.06136
 1635	  331.812	     0.06393	     0.05804
 1636	  332.015	     0.04169	     0.06054
 1637	  332.202	     0.02186	     0.06245
 1638	  332.405	     0.00096	     0.05814
 1639	  332.608	     0.01847	     0.05976	36	Load
 1640	  332.810	     0.03582	     0.05925
 1641	  333.013	     0.05655	     0.05240
 1642	  333.216	     0.07666	     0.06854
 1643	  333.403	     0.09654	     0.06207
 1644	  333.606	     0.11943	     0.06367
 1645	  333.809	     0.13664	     0.06547
 1646	  334.012	     0.15707	     0.07505
 1647	  334.214	     0.17665	     0.07139
 1648	  334.402	     0.19679	     0.07530
 1649	  334.604	     0.21964	     0.08006
 1650	  334.807	     0.23805	     0.08576
 1651	  335.010	     0.25602	     0.06886
 1652	  335.213	     0.27690	     0.07391
 1653	  335.416	     0.29791	     0.07127
 1654	  335.603	     0.31766	     0.07194
 1655	  335.806	     0.33931	     0.08072
 1656	  336.008	     0.35743	     0.06912
 1657	  336.211	     0.37739	     0.07234
 1658	  336.414	     0.39582	     0.08175
 1659	  336.601	     0.41685	     0.06954
 1660	  336.804	     0.43827	     0.08171
 1661	  337.007	     0.45597	     0.08379
 1662	  337.210	     0.47669	     0.07371
 1663	  337.413	     0.49592	     0.07224
 1664	  337.600	     0.51687	     0.08042
 1665	  337.803	     0.53805	     0.07476
 1666	  338.005	     0.55802	     0.07915
 1667	  338.208	     0.57857	     0.07886
 1668	  338.411	     0.59549	     0.07836
 1669	  338.614	     0.61717	     0.08141
 1670	  338.801	     0.63672	     0.08196
 1671	  339.004	     0.65766	     0.07908
 1672	  339.207	     0.67728	     0.08416
 1673	  339.409	     0.69625	     0.09491
 1674	  339.612	     0.71671	     0.08697
 1675	  339.815	     0.73663	     0.09493
 1676	  340.002	     0.75690	     0.09002
 1677	  340.205	     0.77888	     0.08717
 1678	  340.408	     0.79812	     0.09358
 1679	  340.611	     0.81669	     0.09100
 1680	  340.813	     0.83797	     0.09533
 1681	  341.001	     0.85696	     0.09223
 1682	  341.203	     0.87826	     0.09995
 1683	  341.406	     0.89911	     0.10200
 1684	  341.609	     0.91738	     0.10061
 1685	  341.812	     0.93659	     0.09390
 1686	  342.015	     0.95734	     0.09948
 1687	  342.202	     0.97648	     0.10363
 1688	  342.405	     0.99815	     0.10312
 1689	  342.607	     1.01784	     0.10527
 1690	  342.810	     1.03778	     0.10446
 1691	  343.013	     1.05699	     0.10349
 1692	  343.216	     1.07710	     0.11675
 1693	  343.403	     1.09797	     0.09220
 1694	  343.606	     1.11823	     0.10336
 1695	  343.809	     1.13828	     0.11820
 1696	  344.011	     1.15643	     0.11253
 1697	  344.214	     1.17606	     0.11711
 1698	  344.401	     1.19703	     0.11518
 1699	  344.604	     1.21758	     0.11446
 1700	  344.807	     1.23775	     0.11830
 1701	  345.010	     1.25777	     0.11135
 1702	  345.213	     1.27695	     0.11513
 1703	  345.415	     1.29630	     0.12081
 1704	  345.603	     1.31591	     0.11515
 1705	  345.805	     1.33850	     0.11770
 1706	  346.008	     1.35719	     0.12791
 1707	  346.211	     1.37733	     0.12768
 1708	  346.414	     1.39635	     0.13655
 1709	  346.601	     1.41746	     0.12921
 1710	  346.804	     1.43964	     0.13440
 1711	  347.007	     1.45821	     0.13726
 1712	  347.209	     1.47520	     0.13836
 1713	  347.412	     1.48881	     0.26049
 1714	  347.615	     1.50118	     0.60153
 1715	  347.802	     1.51438	     1.14453
 1716	  348.005	     1.52934	     1.92123
 1717	  348.208	     1.54352	     2.85922
 1718	  348.411	     1.55822	     3.87047
 1719	  348.613	     1.57460	     4.98600
 1720	  348.801	     1.59340	     6.10734
 1721	  349.003	     1.60707	     7.29528
 1722	  349.206	     1.62798	     8.50936
 1723	  349.409	     1.64814	     9.61062
 1724	  349.612	     1.67355	    10.60373
 1725	  349.815	     1.71614	    11.12850
 1726	  350.002	     1.74773	    10.74047
 1727	  350.205	     1.75603	    10.71546
 1728	  350.407	     1.77040	    10.99636
 1729	  350.610	     1.78474	    10.73824	37	Unload
 1730	  350.813	     1.77807	     9.80228
 1731	  351.016	     1.76334	     8.64260
 1732	  351.203	     1.74872	     7.43747
 1733	  351.406	     1.72833	     6.11323
 1734	  351.609	     1.71157	     4.79325
 1735	  351.811	     1.69495	     3.51178
 1736	  352.014	     1.67116	     2.29508
 1737	  352.201	     1.65161	     1.32775
 1738	  352.404	     1.62185	     0.40761
 1739	  352.607	     1.58331	     0.13190
 1740	  352.810	     1.56229	     0.13194
 1741	  353.013	     1.54348	     0.13992
 1742	  353.215	     1.52271	     0.14064
 1743	  353.403	     1.50260	     0.13218
 1744	  353.605	     1.48137	     0.13482
 1745	  353.808	     1.46023	     0.13814
 1746	  354.011	     1.44262	     0.13575
 1747	  354.214	     1.42207	     0.13628
 1748	  354.401	     1.40351	     0.13930
 1749	  354.604	     1.38094	     0.13885
 1750	  354.807	     1.36089	     0.15109
 1751	  355.009	     1.34060	     0.15033
 1752	  355.212	     1.32252	     0.14491
 1753	  355.415	     1.30280	     0.14338
 1754	  355.602	     1.28453	     0.14440
 1755	  355.805	     1.26179	     0.14431
 1756	  356.008	     1.24016	     0.14334
 1757	  356.211	     1.22123	     0.14571
 1758	  356.413	     1.20286	     0.14891
 1759	  356.601	     1.18312	     0.14713
 1760	  356.803	     1.16101	     0.15442
 1761	  357.006	     1.14182	     0.15679
 1762	  357.209	     1.12312	     0.15588
 1763	  357.412	     1.10338	     0.14378
 1764	  357.615	     1.08409	     0.15200
 1765	  357.802	     1.06386	     0.14796
 1766	  358.005	     1.04153	     0.14465
 1767	  358.207	     1.02120	     0.14719
 1768	  358.410	     1.00286	     0.15329
 1769	  358.613	     0.98449	     0.16079
 1770	  358.800	     0.96439	     0.15688
 1771	  359.003	     0.94078	     0.16517
 1772	  359.206	     0.92007	     0.16855
 1773	  359.409	     0.90132	     0.15774
 1774	  359.611	     0.88303	     0.16203
 1775	  359.814	     0.86151	     0.16449
 1776	  360.001	     0.84353	     0.16030
 1777	  360.204	     0.82079	     0.16528
 1778	  360.407	     0.80159	     0.16207
 1779	  360.610	     0.78299	     0.15467
 1780	  360.813	     0.76214	     0.15895
 1781	  361.015	     0.74134	     0.16594
 1782	  361.203	     0.72447	     0.16142
 1783	  361.405	     0.70081	     0.16814
 1784	  361.608	     0.68229	     0.16995
 1785	  361.811	     0.66153	     0.16524
 1786	  362.014	     0.64285	     0.16230
 1787	  362.201	     0.62406	     0.16641
 1788	  362.404	     0.60415	     0.16187
 1789	  362.607	     0.58092	     0.16598
 1790	  362.809	     0.56263	     0.16603
 1791	  363.012	     0.54332	     0.15865
 1792	  363.215	     0.52321	     0.17151
 1793	  363.402	     0.50429	     0.16332
 1794	  363.605	     0.48271	     0.16375
 1795	  363.808	     0.45983	     0.16602
 1796	  364.011	     0.44292	     0.16762
 1797	  364.213	     0.42288	     0.15945
 1798	  364.401	     0.40398	     0.15946
 1799	  364.603	     0.38141	     0.16370
 1800	  364.806	     0.36045	     0.16434
 1801	  365.009	     0.34134	     0.16342
 1802	  365.212	     0.32375	     0.15609
 1803	  365.415	     0.30264	     0.15684
 1804	  365.602	     0.28273	     0.15897
 1805	  365.805	     0.26106	     0.16191
 1806	  366.007	     0.24122	     0.15685
 1807	  366.210	     0.22292	     0.15397
 1808	  366.413	     0.20280	     0.14961
 1809	  366.600	     0.18465	     0.15799
 1810	  366.803	     0.16180	     0.14597
 1811	  367.006	     0.14064	     0.14803
 1812	  367.209	     0.12301	     0.14963
 1813	  367.411	     0.10423	     0.14565
 1814	  367.614	     0.08248	     0.14828
 1815	  367.801	     0.06443	     0.14348
 1816	  368.004	     0.04179	     0.14977
 1817	  368.207	     0.02124	     0.14868
 1818	  368.410	     0.00299	     0.13751
 1819	  368.613	     0.01593	     0.13308	38	Load
 1820	  368.800	     0.03529	     0.14096
 1821	  369.003	     0.05697	     0.14642
 1822	  369.205	     0.07832	     0.14482
 1823	  369.408	     0.09811	     0.14230
 1824	  369.611	     0.11585	     0.14748
 1825	  369.814	     0.13588	     0.14087
 1826	  370.001	     0.15722	     0.14274
 1827	  370.204	     0.17770	     0.13870
 1828	  370.407	     0.19898	     0.14120
 1829	  370.609	     0.21661	     0.13716
 1830	  370.812	     0.23500	     0.14552
 1831	  371.015	     0.25694	     0.14505
 1832	  371.202	     0.27467	     0.13072
 1833	  371.405	     0.29763	     0.14108
 1834	  371.608	     0.31871	     0.14025
 1835	  371.811	     0.33827	     0.13917
 1836	  372.013	     0.35524	     0.13660
 1837	  372.201	     0.37509	     0.13693
 1838	  372.403	     0.39719	     0.13538
 1839	  372.606	     0.41755	     0.13662
 1840	  372.809	     0.43670	     0.13497
 1841	  373.012	     0.45715	     0.14216
 1842	  373.215	     0.47675	     0.13303
 1843	  373.402	     0.49516	     0.14486
 1844	  373.605	     0.51875	     0.13126
 1845	  373.807	     0.53881	     0.14191
 1846	  374.010	     0.55383	     0.13105
 1847	  374.213	     0.57572	     0.13067
 1848	  374.416	     0.59627	     0.13528
 1849	  374.603	     0.61630	     0.12911
 1850	  374.806	     0.63992	     0.12927
 1851	  375.009	     0.65657	     0.13243
 1852	  375.211	     0.67596	     0.13616
 1853	  375.414	     0.69660	     0.13308
 1854	  375.601	     0.71599	     0.13072
 1855	  375.804	     0.73878	     0.12773
 1856	  376.007	     0.75818	     0.13106
 1857	  376.210	     0.77654	     0.13168
 1858	  376.413	     0.79571	     0.13910
 1859	  376.600	     0.81595	     0.13243
 1860	  376.803	     0.83782	     0.12828
 1861	  377.005	     0.85807	     0.13090
 1862	  377.208	     0.87801	     0.12948
 1863	  377.411	     0.89568	     0.12161
 1864	  377.614	     0.91601	     0.13080
 1865	  377.801	     0.93717	     0.13654
 1866	  378.004	     0.95831	     0.13933
 1867	  378.207	     0.97854	     0.13276
 1868	  378.409	     0.99829	     0.14776
 1869	  378.612	     1.01581	     0.13957
 1870	  378.815	     1.03672	     0.13671
 1871	  379.002	     1.05685	     0.14201
 1872	  379.205	     1.07677	     0.14519
 1873	  379.408	     1.09797	     0.14277
 1874	  379.611	     1.11651	     0.14070
 1875	  379.813	     1.13699	     0.14172
 1876	  380.001	     1.15605	     0.15101
 1877	  380.203	     1.17803	     0.14970
 1878	  380.406	     1.19748	     0.15116
 1879	  380.609	     1.21530	     0.15517
 1880	  380.812	     1.23662	     0.14119
 1881	  381.015	     1.25679	     0.15212
 1882	  381.202	     1.27776	     0.14422
 1883	  381.405	     1.29915	     0.14801
 1884	  381.607	     1.31973	     0.15081
 1885	  381.810	     1.33836	     0.14014
 1886	  382.013	     1.35638	     0.14199
 1887	  382.216	     1.37679	     0.14877
 1888	  382.403	     1.39514	     0.14619
 1889	  382.606	     1.41797	     0.14337
 1890	  382.809	     1.43689	     0.14050
 1891	  383.011	     1.45503	     0.14231
 1892	  383.214	     1.47656	     0.14367
 1893	  383.401	     1.49544	     0.14907
 1894	  383.604	     1.51792	     0.15119
 1895	  383.807	     1.53823	     0.14582
 1896	  384.010	     1.55743	     0.15575
 1897	  384.213	     1.57436	     0.17445
 1898	  384.415	     1.58960	     0.31355
 1899	  384.603	     1.60320	     0.57712
 1900	  384.805	     1.61570	     1.15998
 1901	  385.008	     1.62978	     1.92113
 1902	  385.211	     1.64187	     2.78565
 1903	  385.414	     1.65842	     3.79035
 1904	  385.601	     1.67253	     4.83791
 1905	  385.804	     1.69017	     6.10369
 1906	  386.007	     1.70787	     7.29136
 1907	  386.209	     1.72870	     8.40897
 1908	  386.412	     1.74960	     9.50135
 1909	  386.615	     1.77313	    10.46758
 1910	  386.802	     1.81617	    10.93450
 1911	  387.005	     1.84724	    10.63212
 1912	  387.208	     1.85376	    10.57079
 1913	  387.411	     1.87071	    10.80179
 1914	  387.613	     1.88672	    10.55544	39	Unload
 1915	  387.801	     1.87758	     9.66647
 1916	  388.003	     1.86294	     8.43376
 1917	  388.206	     1.84737	     7.16630
 1918	  388.409	     1.83035	     5.91439
 1919	  388.612	     1.81086	     4.60850
 1920	  388.815	     1.79361	     3.35355
 1921	  389.002	     1.77324	     2.18772
 1922	  389.205	     1.74778	     1.12253
 1923	  389.407	     1.72387	     0.32357
 1924	  389.610	     1.68236	     0.14187
 1925	  389.813	     1.66455	     0.14115
 1926	  390.016	     1.64423	     0.13324
