   No.   	Time N (s)	Depth N (µm)	Force N (mN)
  155	   35.709	     0.24732	     8.25360
  156	   35.911	     0.25326	     8.86835
  157	   36.114	     0.26574	     9.46241
  158	   36.301	     0.27428	    10.03688
  159	   36.504	     0.28437	    10.63937
  160	   36.707	     0.29701	    11.23692
  161	   36.910	     0.33043	    11.09520
  162	   37.113	     0.33439	    10.83416
  163	   37.315	     0.33967	    10.83094
  164	   37.503	     0.34443	    10.97269
  165	   37.705	     0.35226	    11.22545
  166	   37.908	     0.37003	    11.34705
  167	   38.111	     0.38119	    11.28777
  168	   38.314	     0.38295	    11.06328	9	Unload
  169	   38.501	     0.38293	    10.58018
  170	   38.704	     0.37470	     9.90222
  171	   38.907	     0.36538	     9.14400
  172	   39.109	     0.35627	     8.41861
  173	   39.312	     0.34426	     7.70419
  174	   39.515	     0.33737	     7.06558
  175	   39.702	     0.33079	     6.37541
  176	   39.905	     0.31955	     5.61101
  177	   40.108	     0.31041	     4.94537
  178	   40.311	     0.30169	     4.30776
  179	   40.513	     0.29328	     3.67048
  180	   40.701	     0.28249	     3.07008
  181	   40.903	     0.27366	     2.44519
  182	   41.106	     0.26265	     1.88005
  183	   41.309	     0.25083	     1.37274
  184	   41.512	     0.24285	     0.98093
  185	   41.715	     0.23167	     0.54270
  186	   41.902	     0.22010	     0.19247
  187	   42.105	     0.20436	    -0.05964
  188	   42.307	     0.18978	    -0.07152
  189	   42.510	     0.18137	    -0.06299
  190	   42.713	     0.17065	    -0.06607
  191	   42.916	     0.16066	    -0.06331
  192	   43.103	     0.15092	    -0.06695
  193	   43.306	     0.13883	    -0.06850
  194	   43.509	     0.13249	    -0.07124
  195	   43.711	     0.11838	    -0.07132
  196	   43.914	     0.11129	    -0.06657
  197	   44.101	     0.10062	    -0.06346
  198	   44.304	     0.09069	    -0.07341
  199	   44.507	     0.08081	    -0.07065
  200	   44.710	     0.07267	    -0.06783
  201	   44.913	     0.06016	    -0.07039
  202	   45.115	     0.05186	    -0.05860
  203	   45.303	     0.03968	    -0.07194
  204	   45.505	     0.03213	    -0.07012
  205	   45.708	     0.02162	    -0.06714
  206	   45.911	     0.01131	    -0.05589
  207	   46.114	     0.00069	    -0.05907
  208	   46.301	     0.01750	    -0.05852	10	Load
  209	   46.504	     0.04015	    -0.06110
  210	   46.707	     0.05872	    -0.06151
  211	   46.909	     0.07981	    -0.05408
  212	   47.112	     0.09821	    -0.05426
  213	   47.315	     0.11967	    -0.05691
  214	   47.502	     0.13788	    -0.04586
  215	   47.705	     0.15911	    -0.04931
  216	   47.908	     0.17998	    -0.04734
  217	   48.111	     0.19626	    -0.02310
  218	   48.313	     0.21031	     0.14139
  219	   48.501	     0.22168	     0.56153
  220	   48.703	     0.23218	     1.20302
  221	   48.906	     0.24898	     2.07024
  222	   49.109	     0.26351	     2.98579
  223	   49.312	     0.27777	     4.00026
  224	   49.515	     0.29357	     5.16199
  225	   49.702	     0.31200	     6.29594
  226	   49.905	     0.32747	     7.50803
  227	   50.107	     0.34905	     8.74776
  228	   50.310	     0.36472	     9.94644
  229	   50.513	     0.38630	    11.16077
  230	   50.716	     0.43784	    11.84384
  231	   50.903	     0.47192	    11.36672
  232	   51.106	     0.47822	    11.25579
  233	   51.309	     0.47838	    11.02833	11	Unload
  234	   51.511	     0.47017	    10.36052
  235	   51.714	     0.45641	     9.38233
  236	   51.901	     0.44413	     8.25517
  237	   52.104	     0.42806	     6.89479
  238	   52.307	     0.41033	     5.53313
  239	   52.510	     0.39087	     4.25692
  240	   52.713	     0.36903	     3.05158
  241	   52.915	     0.34872	     1.95278
  242	   53.103	     0.32997	     0.97173
  243	   53.305	     0.30199	     0.07865
  244	   53.508	     0.25941	    -0.06624
  245	   53.711	     0.24131	    -0.06709
  246	   53.914	     0.22055	    -0.07360
  247	   54.101	     0.20146	    -0.06758
  248	   54.304	     0.18037	    -0.07927
  249	   54.507	     0.16102	    -0.07467
  250	   54.709	     0.14326	    -0.07596
  251	   54.912	     0.12270	    -0.07890
  252	   55.115	     0.10126	    -0.07135
  253	   55.302	     0.08107	    -0.07698
  254	   55.505	     0.05913	    -0.07953
  255	   55.708	     0.04166	    -0.07587
  256	   55.911	     0.02127	    -0.08697
  257	   56.113	     0.00185	    -0.08588
  258	   56.301	     0.01959	    -0.08619	12	Load
  259	   56.503	     0.03863	    -0.08066
  260	   56.706	     0.05921	    -0.07800
  261	   56.909	     0.07978	    -0.07553
  262	   57.112	     0.10031	    -0.08058
  263	   57.315	     0.11755	    -0.07700
  264	   57.502	     0.13806	    -0.07861
  265	   57.705	     0.15900	    -0.07272
  266	   57.907	     0.17990	    -0.08861
  267	   58.110	     0.19953	    -0.08028
  268	   58.313	     0.21801	    -0.08014
  269	   58.516	     0.23796	    -0.08480
  270	   58.703	     0.25813	    -0.08600
  271	   58.906	     0.27849	    -0.07383
  272	   59.109	     0.29235	     0.06236
  273	   59.311	     0.30334	     0.40995
  274	   59.514	     0.31798	     0.98305
  275	   59.701	     0.32977	     1.70687
  276	   59.904	     0.34554	     2.65283
  277	   60.107	     0.35879	     3.73545
  278	   60.310	     0.37460	     4.86461
  279	   60.513	     0.39093	     6.02948
  280	   60.715	     0.41051	     7.24876
  281	   60.903	     0.43095	     8.37151
  282	   61.105	     0.44732	     9.53978
  283	   61.308	     0.46693	    10.72966
  284	   61.511	     0.49357	    11.81011
  285	   61.714	     0.55825	    11.50684
  286	   61.901	     0.56329	    11.05376
  287	   62.104	     0.57112	    11.18433
  288	   62.307	     0.57572	    11.07362	13	Unload
  289	   62.509	     0.57054	    10.33739
  290	   62.712	     0.55926	     9.35193
  291	   62.915	     0.54238	     8.16221
  292	   63.102	     0.52879	     6.93780
  293	   63.305	     0.51007	     5.53973
  294	   63.508	     0.48967	     4.23116
  295	   63.711	     0.46983	     3.02732
  296	   63.913	     0.44946	     1.88554
  297	   64.101	     0.42997	     0.93171
  298	   64.303	     0.40169	     0.08445
  299	   64.506	     0.35978	    -0.08683
  300	   64.709	     0.34143	    -0.08099
  301	   64.912	     0.31954	    -0.08478
  302	   65.115	     0.30314	    -0.08213
  303	   65.302	     0.28058	    -0.08634
  304	   65.505	     0.26068	    -0.08404
  305	   65.707	     0.24174	    -0.08004
  306	   65.910	     0.22193	    -0.07585
  307	   66.113	     0.20082	    -0.08074
  308	   66.316	     0.18205	    -0.09022
  309	   66.503	     0.16098	    -0.08886
  310	   66.706	     0.14209	    -0.07925
  311	   66.909	     0.12095	    -0.08068
  312	   67.111	     0.10199	    -0.08795
  313	   67.314	     0.08218	    -0.07959
  314	   67.501	     0.06369	    -0.07894
  315	   67.704	     0.04151	    -0.08441
  316	   67.907	     0.02217	    -0.07819
  317	   68.110	     0.00252	    -0.06924
  318	   68.313	     0.01849	    -0.08329	14	Load
  319	   68.515	     0.03922	    -0.06469
  320	   68.703	     0.05786	    -0.06526
  321	   68.905	     0.07902	    -0.06517
  322	   69.108	     0.09858	    -0.06240
  323	   69.311	     0.11991	    -0.06590
  324	   69.514	     0.13846	    -0.06573
  325	   69.701	     0.15919	    -0.06419
  326	   69.904	     0.17943	    -0.06713
  327	   70.107	     0.19915	    -0.06477
  328	   70.309	     0.21919	    -0.06845
  329	   70.512	     0.23889	    -0.05755
  330	   70.715	     0.25896	    -0.06430
  331	   70.902	     0.27785	    -0.06318
  332	   71.105	     0.29950	    -0.06760
  333	   71.308	     0.31990	    -0.06486
  334	   71.511	     0.33858	    -0.05944
  335	   71.713	     0.35864	    -0.05726
  336	   71.901	     0.37785	    -0.05630
  337	   72.103	     0.39215	     0.07218
  338	   72.306	     0.40360	     0.48848
  339	   72.509	     0.41595	     1.08899
  340	   72.712	     0.43305	     1.81879
  341	   72.915	     0.44090	     2.73154
  342	   73.102	     0.45889	     3.81736
  343	   73.305	     0.47715	     4.93195
  344	   73.507	     0.49231	     6.10997
  345	   73.710	     0.50868	     7.29246
  346	   73.913	     0.53066	     8.47311
  347	   74.116	     0.54616	     9.64939
  348	   74.303	     0.56645	    10.76777
  349	   74.506	     0.60314	    11.76207
  350	   74.709	     0.66085	    11.12675
  351	   74.911	     0.66315	    10.76298
  352	   75.114	     0.67059	    10.95611
  353	   75.301	     0.67684	    10.90081	15	Unload
  354	   75.504	     0.66856	    10.15955
  355	   75.707	     0.66048	     9.19551
  356	   75.910	     0.64444	     8.04557
  357	   76.113	     0.62521	     6.76575
  358	   76.315	     0.60956	     5.47706
  359	   76.503	     0.59120	     4.23299
  360	   76.705	     0.57203	     2.98074
  361	   76.908	     0.54745	     1.82197
  362	   77.111	     0.52654	     0.88306
  363	   77.314	     0.50065	     0.07073
  364	   77.501	     0.46253	    -0.04826
  365	   77.704	     0.43958	    -0.04147
  366	   77.907	     0.41895	    -0.05109
  367	   78.109	     0.40040	    -0.04962
  368	   78.312	     0.38041	    -0.05149
  369	   78.515	     0.36212	    -0.05414
  370	   78.702	     0.34110	    -0.04294
  371	   78.905	     0.32100	    -0.05839
  372	   79.108	     0.30116	    -0.04543
  373	   79.311	     0.28289	    -0.04284
  374	   79.513	     0.26166	    -0.05509
  375	   79.701	     0.24226	    -0.04824
  376	   79.903	     0.22241	    -0.04611
  377	   80.106	     0.19967	    -0.03526
  378	   80.309	     0.18090	    -0.04813
  379	   80.512	     0.16299	    -0.04680
  380	   80.715	     0.14126	    -0.03850
  381	   80.902	     0.12134	    -0.04662
  382	   81.105	     0.10147	    -0.04544
  383	   81.307	     0.08103	    -0.03956
  384	   81.510	     0.06236	    -0.03281
  385	   81.713	     0.04227	    -0.04143
  386	   81.900	     0.02188	    -0.03497
  387	   82.103	     0.00163	    -0.04638
  388	   82.306	     0.01983	    -0.03891	16	Load
  389	   82.509	     0.03900	    -0.04147
  390	   82.711	     0.05762	    -0.02692
  391	   82.914	     0.07988	    -0.03419
  392	   83.101	     0.09741	    -0.03393
  393	   83.304	     0.12078	    -0.03816
  394	   83.507	     0.14019	    -0.03098
  395	   83.710	     0.15766	    -0.03372
  396	   83.913	     0.17840	    -0.02757
  397	   84.115	     0.19757	    -0.03161
  398	   84.303	     0.21788	    -0.01811
  399	   84.505	     0.23842	    -0.02981
  400	   84.708	     0.25928	    -0.02449
  401	   84.911	     0.27943	    -0.02485
  402	   85.114	     0.29868	    -0.01876
  403	   85.301	     0.31708	    -0.02350
  404	   85.504	     0.34156	    -0.02710
  405	   85.707	     0.35818	    -0.02926
  406	   85.909	     0.38037	    -0.02591
  407	   86.112	     0.39800	    -0.02486
  408	   86.315	     0.41900	    -0.02169
  409	   86.502	     0.43798	    -0.01964
  410	   86.705	     0.45852	    -0.01966
  411	   86.908	     0.47841	    -0.00945
  412	   87.111	     0.48884	     0.15700
  413	   87.313	     0.50260	     0.53909
  414	   87.501	     0.51282	     1.10450
  415	   87.703	     0.53158	     1.90595
  416	   87.906	     0.54455	     2.79117
  417	   88.109	     0.55809	     3.84990
  418	   88.312	     0.57482	     4.96086
  419	   88.515	     0.59165	     6.15674
  420	   88.702	     0.60676	     7.29680
  421	   88.905	     0.63070	     8.51287
  422	   89.107	     0.64831	     9.72327
  423	   89.310	     0.66917	    10.77304
  424	   89.513	     0.72629	    11.33874
  425	   89.700	     0.76274	    10.32495
  426	   89.903	     0.76059	    10.02779
  427	   90.106	     0.76598	    10.34743
  428	   90.309	     0.77150	    10.43265	17	Unload
  429	   90.511	     0.76965	     9.82903
  430	   90.714	     0.75404	     8.86870
  431	   90.901	     0.74288	     7.86620
  432	   91.104	     0.72836	     6.53246
  433	   91.307	     0.70834	     5.26121
  434	   91.510	     0.69050	     4.01944
  435	   91.713	     0.67330	     2.80379
  436	   91.900	     0.65186	     1.66084
  437	   92.103	     0.62614	     0.64308
  438	   92.305	     0.58973	     0.00236
  439	   92.508	     0.56050	    -0.01459
  440	   92.711	     0.54133	    -0.02100
  441	   92.914	     0.52204	    -0.01866
  442	   93.101	     0.50290	    -0.01838
  443	   93.304	     0.48054	    -0.02731
  444	   93.507	     0.46073	    -0.01532
  445	   93.709	     0.44266	    -0.01772
  446	   93.912	     0.42134	    -0.02325
  447	   94.115	     0.40281	    -0.01668
  448	   94.302	     0.38126	    -0.01569
  449	   94.505	     0.36030	    -0.01767
  450	   94.708	     0.34111	    -0.00894
  451	   94.911	     0.32066	    -0.01197
  452	   95.113	     0.30204	    -0.00767
  453	   95.301	     0.28168	    -0.01191
  454	   95.503	     0.26075	    -0.00780
